DateTime,SaturatedThickness,WaterLevel,WaterElevation
12/31/2002,46.47166667,183.3533333,3730.171667
1/31/2003,46.28857143,183.3883333,3729.988571
2/28/2003,46.436,183.434,3730.136
3/31/2003,46.53714286,183.4816667,3730.237143
4/30/2003,46.62142857,183.5083333,3730.321429
5/31/2003,46.64142857,183.535,3730.341429
6/30/2003,46.66333333,183.5883333,3730.363333
7/31/2003,46.69,183.6233333,3730.39
8/31/2003,46.72166667,183.665,3730.421667
9/30/2003,46.73666667,183.7066667,3730.436667
10/31/2003,46.725,183.75,3730.425
11/30/2003,46.74333333,183.856,3730.443333
12/31/2003,46.755,183.8583333,3730.455
1/31/2004,46.77714286,183.92,3730.477143
2/29/2004,46.756,183.978,3730.456
3/31/2004,46.78666667,184.03,3730.486667
4/30/2004,46.81,184.0683333,3730.51
5/31/2004,46.82833333,184.0766667,3730.528333
6/30/2004,46.87,184.105,3730.57
7/31/2004,46.85666667,184.165,3730.556667
8/31/2004,46.86333333,184.2866667,3730.563333
9/30/2004,46.90333333,184.2233333,3730.603333
10/31/2004,46.93,184.3483333,3730.63
11/30/2004,46.92833333,184.4483333,3730.628333
12/31/2004,46.94,184.4483333,3730.64
1/31/2005,46.90714286,184.5166667,3730.607143
2/28/2005,46.91666667,184.572,3730.616667
3/31/2005,46.945,184.5933333,3730.645
4/30/2005,46.97,184.63,3730.67
5/31/2005,46.99285714,184.655,3730.692857
6/30/2005,46.98333333,184.6866667,3730.683333
7/31/2005,47.02,184.72,3730.72
8/31/2005,47.01666667,184.7766667,3730.716667
9/30/2005,46.98833333,184.9289956,3730.688333
10/31/2005,46.96,185.0191853,3730.66
11/30/2005,47.011,185.0844274,3730.711
12/31/2005,47.07216667,185.13957,3730.772167
1/31/2006,47.062,185.0813245,3730.762
2/28/2006,47.13333333,185.109375,3730.833333
3/31/2006,47.11833333,185.1496695,3730.818333
4/30/2006,47.10666667,185.1947126,3730.806667
5/31/2006,47.02333333,185.2364766,3730.723333
6/30/2006,47.05,185.2805152,3730.75
7/31/2006,47.015,185.3124,3730.715
8/31/2006,46.96,185.3546341,3730.66
9/30/2006,46.92,185.4076849,3730.62
10/31/2006,46.91666667,185.4526093,3730.616667
11/30/2006,46.96333333,185.4923846,3730.663333
12/31/2006,46.94,185.5420397,3730.64
1/31/2007,46.91916667,185.6000269,3730.619167
2/28/2007,46.88041667,185.6494048,3730.580417
3/31/2007,47.01,185.7060618,3730.71
4/30/2007,46.91666667,185.7569,3730.616667
5/31/2007,46.89833333,185.792619,3730.598333
6/30/2007,46.84166667,185.8075592,3730.541667
7/31/2007,46.8,185.6987946,3730.5
8/31/2007,46.855,185.6635515,3730.555
9/30/2007,46.80666667,185.6637105,3730.506667
10/31/2007,46.82833333,185.6807662,3730.528333
11/30/2007,46.84166667,185.7088625,3730.541667
12/31/2007,46.82333333,185.5900299,3730.523333
1/31/2008,46.78,185.6283084,3730.48
2/29/2008,46.76428571,185.6638696,3730.464286
3/31/2008,46.815,185.6978218,3730.515
4/30/2008,46.92833333,185.7369588,3730.628333
5/31/2008,46.8,185.7777778,3730.5
6/30/2008,46.72666667,185.8110545,3730.426667
7/31/2008,46.64,185.8386364,3730.34
8/31/2008,46.57,185.865,3730.27
9/30/2008,46.42833333,186.1856716,3730.128333
10/31/2008,46.37833333,186.2189465,3730.078333
11/30/2008,46.385,186.2573958,3730.085
12/31/2008,46.265,186.3026984,3729.965
1/31/2009,46.01857143,186.33295,3729.718571
2/28/2009,46.23166667,186.3693304,3729.931667
3/31/2009,46.16833333,186.3922631,3729.868333
4/30/2009,46,186.4493103,3729.7
5/31/2009,45.865,186.4892204,3729.565
6/30/2009,45.555,186.5260452,3729.255
7/31/2009,45.26833333,186.5490998,3728.968333
8/31/2009,45.05833333,186.5019057,3728.758333
9/30/2009,44.89333333,186.6322222,3728.593333
10/31/2009,44.80333333,186.6927151,3728.503333
11/30/2009,44.752,186.7189492,3728.452
12/31/2009,44.955,186.7200865,3728.655
1/31/2010,45.01833333,186.7438393,3728.718333
2/28/2010,45.078,186.8097449,3728.778
3/31/2010,45.10833333,186.8543742,3728.808333
4/30/2010,45.13,186.8936806,3728.83
5/31/2010,45.17666667,186.934352,3728.876667
6/30/2010,45.10166667,186.9379885,3728.801667
7/31/2010,44.82666667,186.9733287,3728.526667
8/31/2010,44.18083333,186.9969136,3727.880833
9/30/2010,43.78791667,187.0231921,3727.487917
10/31/2010,43.535,187.05246,3727.235
11/30/2010,43.395,187.1146634,3727.095
12/31/2010,43.48714286,187.1651562,3727.187143
1/31/2011,43.39666667,187.1856421,3727.096667
2/28/2011,43.528,187.2100163,3727.228
3/31/2011,43.44833333,187.2551747,3727.148333
4/30/2011,43.22,187.2856528,3726.92
5/31/2011,42.97166667,187.2472177,3726.671667
6/30/2011,42.71,187.2665508,3726.41
7/31/2011,42.335,187.2940421,3726.035
8/31/2011,41.915,187.3247692,3725.615
9/30/2011,41.71666667,187.3570968,3725.416667
10/31/2011,41.64333333,187.3899571,3725.343333
11/30/2011,41.405,187.4293883,3725.105
12/31/2011,41.3,187.5257107,3725
1/31/2012,41.30333333,187.6129659,3725.003333
2/29/2012,41.22333333,187.645106,3724.923333
3/31/2012,41.14,187.6729583,3724.84
4/30/2012,40.91,187.6913745,3724.61
5/31/2012,40.60666667,187.725,3724.306667
6/30/2012,40.215,187.7673472,3723.915
7/31/2012,39.90666667,187.8370082,3723.606667
8/31/2012,39.50833333,187.8545468,3723.208333
9/30/2012,39.22833333,187.8964548,3722.928333
10/31/2012,38.88166667,187.9274194,3722.581667
11/30/2012,38.934,187.9529968,3722.634
12/31/2012,38.94857143,187.9947712,3722.648571
1/31/2013,39.01142857,188.0343716,3722.711429
2/28/2013,39.06,188.0684821,3722.76
3/31/2013,39.14166667,188.1002782,3722.841667
4/30/2013,39.09333333,188.1431528,3722.793333
5/31/2013,38.81833333,188.2176111,3722.518333
6/30/2013,38.55333333,188.2409914,3722.253333
7/31/2013,38.27333333,188.2751075,3721.973333
8/31/2013,37.96666667,188.309086,3721.666667
9/30/2013,37.73833333,188.3269684,3721.438333
10/31/2013,37.59833333,188.3557514,3721.298333
11/30/2013,37.51833333,188.3872361,3721.218333
12/31/2013,37.375,188.4163441,3721.075
1/31/2014,37.36666667,188.4438844,3721.066667
2/28/2014,37.365,188.4806845,3721.065
3/31/2014,37.405,188.5139208,3721.105
4/30/2014,37.18333333,188.5441111,3720.883333
5/31/2014,36.90833333,188.5733333,3720.608333
6/30/2014,36.65,188.628178,3720.35
7/31/2014,36.45666667,188.6590995,3720.156667
8/31/2014,36.245,188.6642339,3719.945
9/30/2014,36.02666667,188.6962361,3719.726667
10/31/2014,35.95333333,188.7249727,3719.653333
11/30/2014,35.93833333,188.7553672,3719.638333
12/31/2014,35.83625,188.79,3719.53625
1/31/2015,35.925,190.0701882,3719.625
2/28/2015,36.02666667,188.8535417,3719.726667
3/31/2015,36.10166667,188.8851882,3719.801667
4/30/2015,36.145,188.9134583,3719.845
5/31/2015,35.865,188.9674059,3719.565
6/30/2015,35.86,189.0061806,3719.56
7/31/2015,35.73666667,189.0317486,3719.436667
8/31/2015,35.55,189.050793,3719.25
9/30/2015,35.36166667,189.0523611,3719.061667
10/31/2015,35.26666667,189.0798925,3718.966667
11/30/2015,35.39166667,189.1232759,3719.091667
12/31/2015,35.67428571,189.1614651,3719.374286
1/31/2016,36.02714286,189.1967473,3719.727143
2/29/2016,36.088,189.220704,3719.788
3/31/2016,36.30333333,189.2443414,3720.003333
4/30/2016,36.325,189.2738194,3720.025
5/31/2016,36.08666667,189.2997177,3719.786667
6/30/2016,35.83666667,189.3160694,3719.536667
7/31/2016,35.6,189.312459,3719.3
8/31/2016,35.408,189.3354839,3719.108
