DateTime,SaturatedThickness,,WaterElevation
1/31/2002,127.6471429,185.646129,3201.447143
2/28/2002,127.5616667,185.6889286,3201.361667
3/31/2002,127.5133333,185.7383871,3201.313333
4/30/2002,127.4583333,185.8416667,3201.258333
5/31/2002,127.2333333,186.037,3201.033333
6/30/2002,126.8566667,186.3016667,3200.656667
7/31/2002,126.5883333,186.44,3200.388333
8/31/2002,126.32,186.9185714,3200.12
9/30/2002,125.9983333,187.1796,3199.798333
10/31/2002,125.8183333,187.3442308,3199.618333
11/30/2002,125.7716667,187.474,3199.571667
12/31/2002,125.625,187.5722727,3199.425
1/31/2003,125.5416667,187.7341379,3199.341667
2/28/2003,125.43,187.8066667,3199.23
3/31/2003,125.2433333,187.9823333,3199.043333
4/30/2003,125.0583333,188.1082759,3198.858333
5/31/2003,124.875,188.3035484,3198.675
6/30/2003,124.7216667,188.457,3198.521667
7/31/2003,124.5566667,188.6416129,3198.356667
8/31/2003,124.1666667,188.9964516,3197.966667
9/30/2003,123.9016667,189.277,3197.701667
10/31/2003,123.7333333,189.4645161,3197.533333
11/30/2003,123.6966667,189.5831034,3197.496667
12/31/2003,123.52,189.6944828,3197.32
1/31/2004,123.3928571,189.8432,3197.192857
2/29/2004,123.1642857,190.0259091,3196.964286
3/31/2004,123.09,190.1708696,3196.89
4/30/2004,122.9133333,190.303913,3196.713333
5/31/2004,122.715,190.4773333,3196.515
6/30/2004,122.4583333,190.7556667,3196.258333
7/31/2004,122.215,190.96,3196.015
8/31/2004,121.98,191.22,3195.78
9/30/2004,121.83,191.383,3195.63
10/31/2004,121.6616667,191.5430769,3195.461667
11/30/2004,121.5683333,191.624,3195.368333
12/31/2004,121.725,191.5959091,3195.525
1/31/2005,121.7466667,191.4655172,3195.546667
2/28/2005,121.7371429,191.5216667,3195.537143
3/31/2005,121.485,191.6834483,3195.285
4/30/2005,121.4366667,191.8013793,3195.236667
5/31/2005,121.2616667,191.9321429,3195.061667
6/30/2005,121.1083333,192.0755172,3194.908333
7/31/2005,120.9366667,192.2519355,3194.736667
8/31/2005,120.7933333,192.3725806,3194.593333
9/30/2005,120.7266667,192.4926667,3194.526667
10/31/2005,120.6416667,192.601,3194.441667
11/30/2005,120.49,192.705,3194.29
12/31/2005,120.355,192.8335484,3194.155
1/31/2006,120.14,192.9893919,3193.94
2/28/2006,120.145,193.1535909,3193.945
3/31/2006,119.9466667,193.3173206,3193.746667
4/30/2006,119.7466667,193.4764731,3193.546667
5/31/2006,119.5583333,193.6171102,3193.358333
6/30/2006,119.4416667,193.7761667,3193.241667
7/31/2006,119.24,193.965402,3193.04
8/31/2006,119.0166667,194.2010719,3192.816667
9/30/2006,118.9,194.3697274,3192.7
10/31/2006,118.77,194.5263699,3192.57
11/30/2006,118.5266667,194.6610876,3192.326667
12/31/2006,118.495,194.8028077,3192.295
1/31/2007,118.0771429,194.9519086,3191.877143
2/28/2007,118.08,195.1446051,3191.88
3/31/2007,117.71,195.5171909,3191.51
4/30/2007,117.6316667,195.6456389,3191.431667
5/31/2007,117.4816667,195.7826613,3191.281667
6/30/2007,117.3116667,195.9320278,3191.111667
7/31/2007,117.12,196.0983311,3190.92
8/31/2007,116.9383333,196.2974462,3190.738333
9/30/2007,116.7483333,196.4810833,3190.548333
10/31/2007,116.6316667,196.6690848,3190.431667
11/30/2007,116.4866667,196.8219861,3190.286667
12/31/2007,116.44,196.8513478,3190.24
1/31/2008,116.4328571,196.8633482,3190.232857
2/29/2008,116.24,196.9362615,3190.04
3/31/2008,116.1366667,197.0568709,3189.936667
4/30/2008,116.022,197.2034221,3189.822
5/31/2008,115.7883333,197.4147241,3189.588333
6/30/2008,115.5483333,197.6388141,3189.348333
7/31/2008,115.3166667,197.912613,3189.116667
8/31/2008,115.01,198.1660169,3188.81
9/30/2008,114.795,198.3737712,3188.595
10/31/2008,114.6533333,198.5614091,3188.453333
11/30/2008,114.4583333,198.7038182,3188.258333
12/31/2008,114.24,198.8800794,3188.04
1/31/2009,114.1157143,199.0018553,3187.915714
2/28/2009,114.0233333,199.1321726,3187.823333
3/31/2009,113.975,199.2434563,3187.775
4/30/2009,113.7516667,199.3923994,3187.551667
5/31/2009,113.65,199.5439208,3187.45
6/30/2009,113.4766667,199.7134722,3187.276667
7/31/2009,113.3033333,199.8862231,3187.103333
8/31/2009,113.1316667,200.0730874,3186.931667
9/30/2009,112.96,200.2404306,3186.76
10/31/2009,112.7966667,200.4048118,3186.596667
11/30/2009,112.5566667,200.5435333,3186.356667
12/31/2009,112.5266667,200.6688218,3186.326667
1/31/2010,112.5585714,200.8060031,3186.358571
2/28/2010,112.204,200.9552462,3186.004
3/31/2010,112.025,201.1421751,3185.825
4/30/2010,111.8383333,201.3229167,3185.638333
5/31/2010,111.6933333,201.5417083,3185.493333
6/30/2010,111.52,201.6629778,3185.32
7/31/2010,111.455,201.7531271,3185.255
8/31/2010,111.39,201.8432764,3185.19
9/30/2010,111.1516667,202.1820947,3184.951667
10/31/2010,110.93,202.3646032,3184.73
11/30/2010,109.83,203.4276834,3183.63
12/31/2010,109.7983333,203.4779167,3183.598333
1/31/2011,109.8485714,203.5537705,3183.648571
2/28/2011,108.014,205.5040504,3181.814
3/31/2011,106.048,207.1406967,3179.848
4/30/2011,108.746,204.6385101,3182.546
5/31/2011,108.1566667,205.2211287,3181.956667
6/30/2011,106.25,206.9954798,3180.05
7/31/2011,106.3216667,207.0173176,3180.121667
8/31/2011,107.0516667,206.3553846,3180.851667
9/30/2011,107.5833333,205.5570201,3181.383333
10/31/2011,107.91,205.3268595,3181.71
11/30/2011,107.9483333,205.2690437,3181.748333
12/31/2011,107.96625,205.2428788,3181.76625
1/31/2012,107.8966667,205.3307887,3181.696667
2/29/2012,107.6683333,205.4551341,3181.468333
3/31/2012,107.588,205.6032969,3181.388
4/30/2012,107.4566667,205.7706897,3181.256667
5/31/2012,107.315,205.9177489,3181.115
6/30/2012,105.83,207.5943137,3179.63
7/31/2012,103.6,209.550113,3177.4
8/31/2012,102.275,210.9360526,3176.075
9/30/2012,102.755,210.6299206,3176.555
10/31/2012,103.5275,209.2226769,3177.3275
11/30/2012,103.17375,208.9358942,3176.97375
12/31/2012,104.3,208.6491114,3178.1
1/31/2013,102.82,210.342621,3176.62
2/28/2013,103.195,209.8879167,3176.995
3/31/2013,102.8283333,210.3439785,3176.628333
4/30/2013,103.8,209.4079306,3177.6
5/31/2013,103.155,209.928871,3176.955
6/30/2013,101.79,211.3461667,3175.59
7/31/2013,102.0616667,211.1165188,3175.861667
8/31/2013,101.8466667,211.3077419,3175.646667
9/30/2013,102.0966667,211.0510139,3175.896667
10/31/2013,101.5883333,211.5564651,3175.388333
11/30/2013,102.2342857,211.1074167,3176.034286
12/31/2013,102.9542857,210.2252151,3176.754286
1/31/2014,103.3616667,209.8902688,3177.161667
2/28/2014,103.4916667,209.7340476,3177.291667
3/31/2014,103.5966667,209.762957,3177.396667
4/30/2014,102.7766667,210.4423333,3176.576667
5/31/2014,101.5933333,211.6906183,3175.393333
6/30/2014,101.7083333,211.5174028,3175.508333
7/31/2014,100.8166667,212.4348253,3174.616667
8/31/2014,99.415,213.8364516,3173.215
9/30/2014,100.6766667,212.7083611,3174.476667
10/31/2014,100.9616667,212.3514113,3174.761667
11/30/2014,101.6266667,211.7472753,3175.426667
12/31/2014,102.0628571,211.1460798,3175.862857
1/31/2015,102.4083333,210.8799462,3176.208333
2/28/2015,102.6316667,210.6901786,3176.431667
3/31/2015,102.6616667,210.548293,3176.461667
4/30/2015,102.5716667,210.6650972,3176.371667
5/31/2015,102.6516667,210.596129,3176.451667
6/30/2015,102.7066667,210.5266944,3176.506667
7/31/2015,102.7416667,210.4851882,3176.541667
8/31/2015,102.845,210.3876747,3176.645
9/30/2015,102.9666667,210.2598611,3176.766667
10/31/2015,103.1033333,210.1517204,3176.903333
11/30/2015,103.3333333,209.9784722,3177.133333
12/31/2015,103.4528571,209.7992608,3177.252857
1/31/2016,103.6616667,209.6447177,3177.461667
2/29/2016,103.6233333,209.622069,3177.423333
3/31/2016,103.5233333,209.7080645,3177.323333
4/30/2016,103.285,210.0164583,3177.085
5/31/2016,102.925,210.3247312,3176.725
6/30/2016,102.765,210.458375,3176.565
7/31/2016,102.5933333,210.6445833,3176.393333
8/31/2016,102.322,210.8990457,3176.122
