DateTime,WaterLevel,WaterElevation,SaturatedThickness
1/31/2002,224.4909677,3655.531667,175.5316667
2/28/2002,224.515,3655.468333,175.4683333
3/31/2002,224.2993548,3655.568333,175.5683333
4/30/2002,224.3666667,3655.536667,175.5366667
5/31/2002,224.7765517,3655.211667,175.2116667
6/30/2002,225.273,3654.681667,174.6816667
7/31/2002,225.7996774,3654.18,174.18
8/31/2002,226.1070968,3653.89,173.89
9/30/2002,226.5506667,3653.411667,173.4116667
10/31/2002,226.4764516,3653.485,173.485
11/30/2002,226.2663333,3653.83,173.83
12/31/2002,226.0645161,3653.92,173.92
1/31/2003,225.9825806,3654.013333,174.0133333
2/28/2003,225.8253571,3654.053333,174.0533333
3/31/2003,225.7525806,3654.188333,174.1883333
4/30/2003,225.607,3654.366667,174.3666667
5/31/2003,225.6693548,3654.311667,174.3116667
6/30/2003,226.1495833,3653.803333,173.8033333
7/31/2003,227.0809677,3652.863333,172.8633333
8/31/2003,227.7416129,3652.255,172.255
9/30/2003,228.1566667,3651.57,171.57
10/31/2003,229.75,3650.28,170.28
11/30/2003,229.5813333,3650.548333,170.5483333
12/31/2003,229.316129,3650.705,170.705
1/31/2004,229.1083333,3650.79,170.79
2/29/2004,228.75,3651.342,171.342
3/31/2004,228.5964516,3651.52,171.52
4/30/2004,228.354,3651.676667,171.6766667
5/31/2004,228.7154839,3651.24,171.24
6/30/2004,230.094,3649.846667,169.8466667
7/31/2004,230.8706452,3649.073333,169.0733333
8/31/2004,231.8122581,3648.041667,168.0416667
9/30/2004,232.2116667,3647.793333,167.7933333
10/31/2004,232.3054839,3647.675,167.675
11/30/2004,232.24,3647.761667,167.7616667
12/31/2004,231.8736667,3648.203333,168.2033333
1/31/2005,231.5593548,3648.466667,168.4666667
2/28/2005,231.2644444,3648.771667,168.7716667
3/31/2005,231.2432258,3648.71,168.71
4/30/2005,230.846,3649.305,169.305
5/31/2005,230.8464516,3649.12,169.12
6/30/2005,231.055,3647.627,167.627
7/31/2005,232.4509783,3646.796833,166.7968333
8/31/2005,233.8469565,3646.134,166.134
9/30/2005,234.066,3645.966667,165.9666667
10/31/2005,234.2074194,3645.888333,165.8883333
11/30/2005,233.9776667,3646.16,166.16
12/31/2005,233.7245161,3646.331667,166.3316667
1/31/2006,233.4927016,3646.598333,166.5983333
2/28/2006,233.2667262,3646.973333,166.9733333
3/31/2006,233.0491896,3647.105,167.105
4/30/2006,233.0230848,3647.013333,167.0133333
5/31/2006,233.4119444,3646.486667,166.4866667
6/30/2006,234.3296142,3645.676667,165.6766667
7/31/2006,234.5888301,3645.41,165.41
8/31/2006,234.9425,3645.13,165.13
9/30/2006,236.1401752,3643.864,163.864
10/31/2006,236.0530655,3643.94,163.94
11/30/2006,236.2134663,3643.716667,163.7166667
12/31/2006,236.044422,3644.035,164.035
1/31/2007,235.9744965,3644.091667,164.0916667
2/28/2007,235.98,3644.02,164.02
3/31/2007,235.98,3644.02,164.02
4/30/2007,235.8914286,3644.17,164.17
5/31/2007,235.408908,3644.638333,164.6383333
6/30/2007,235.4977778,3644.493333,164.4933333
7/31/2007,235.4491204,3644.55,164.55
8/31/2007,235.45,3644.55,164.55
9/30/2007,237.5755841,3642.508333,162.5083333
10/31/2007,238.8438636,3641.258333,161.2583333
11/30/2007,238.8615476,3641.19,161.19
12/31/2007,238.6644286,3641.406667,161.4066667
1/31/2008,238.402619,3641.658333,161.6583333
2/29/2008,238.1731713,3641.805714,161.8057143
3/31/2008,238.083602,3641.958333,161.9583333
4/30/2008,238.2625413,3641.928333,161.9283333
5/31/2008,238.6292,3641.365,161.365
6/30/2008,239.2192593,3640.785,160.785
7/31/2008,239.7824854,3640.18,160.18
8/31/2008,240.3538158,3639.601667,159.6016667
9/30/2008,240.6806287,3639.29,159.29
10/31/2008,240.5791827,3639.533333,159.5333333
11/30/2008,240.25125,3639.763333,159.7633333
12/31/2008,239.9507237,3639.993333,159.9933333
1/31/2009,239.617673,3640.235,160.235
2/28/2009,239.287608,3640.838333,160.8383333
3/31/2009,238.9800269,3641.191667,161.1916667
4/30/2009,238.7509931,3641.215,161.215
5/31/2009,239.2777639,3640.731667,160.7316667
6/30/2009,240.0369444,3639.886667,159.8866667
7/31/2009,240.9855972,3639.008333,159.0083333
8/31/2009,241.8835563,3638.0675,158.0675
9/30/2009,242.1958194,3637.818333,157.8183333
10/31/2009,242.145793,3637.901667,157.9016667
11/30/2009,241.9222185,3637.966667,157.9666667
12/31/2009,241.5362139,3638.54,158.54
1/31/2010,241.1949722,3638.765,158.765
2/28/2010,240.8941333,3639.168333,159.1683333
3/31/2010,240.6366083,3639.36,159.36
4/30/2010,240.3784583,3639.578333,159.5783333
5/31/2010,240.260724,3639.811667,159.8116667
6/30/2010,240.5183007,3639.454,159.454
7/31/2010,241.4208518,3638.555333,158.5553333
