DateTime,SaturatedThickness,WaterLevel,WaterElevation
12/31/2002,76.04666667,183.3533333,3298.646667
1/31/2003,76.01166667,183.3883333,3298.611667
2/28/2003,75.966,183.434,3298.566
3/31/2003,75.92142857,183.4816667,3298.521429
4/30/2003,75.89428571,183.5083333,3298.494286
5/31/2003,75.86571429,183.535,3298.465714
6/30/2003,75.81166667,183.5883333,3298.411667
7/31/2003,75.77666667,183.6233333,3298.376667
8/31/2003,75.735,183.665,3298.335
9/30/2003,75.69333333,183.7066667,3298.293333
10/31/2003,75.65,183.75,3298.25
11/30/2003,75.544,183.856,3298.144
12/31/2003,75.54166667,183.8583333,3298.141667
1/31/2004,75.48,183.92,3298.08
2/29/2004,75.422,183.978,3298.022
3/31/2004,75.37,184.03,3297.97
4/30/2004,75.33166667,184.0683333,3297.931667
5/31/2004,75.32333333,184.0766667,3297.923333
6/30/2004,75.295,184.105,3297.895
7/31/2004,75.235,184.165,3297.835
8/31/2004,75.11333333,184.2866667,3297.713333
9/30/2004,75.17666667,184.2233333,3297.776667
10/31/2004,75.06625,184.3483333,3297.66625
11/30/2004,74.95166667,184.4483333,3297.551667
12/31/2004,74.95,184.4483333,3297.55
1/31/2005,74.88333333,184.5166667,3297.483333
2/28/2005,74.82833333,184.572,3297.428333
3/31/2005,74.80857143,184.5933333,3297.408571
4/30/2005,74.77,184.63,3297.37
5/31/2005,74.74714286,184.655,3297.347143
6/30/2005,74.71333333,184.6866667,3297.313333
7/31/2005,74.68,184.72,3297.28
8/31/2005,74.62333333,184.7766667,3297.223333
9/30/2005,74.58166667,184.9289956,3297.181667
10/31/2005,74.54,185.0191853,3297.14
11/30/2005,74.425,185.0844274,3297.025
12/31/2005,74.36333333,185.13957,3296.963333
1/31/2006,74.31,185.0813245,3296.91
2/28/2006,74.30166667,185.109375,3296.901667
3/31/2006,74.26166667,185.1496695,3296.861667
4/30/2006,74.20666667,185.1947126,3296.806667
5/31/2006,74.15166667,185.2364766,3296.751667
6/30/2006,74.11833333,185.2805152,3296.718333
7/31/2006,74.085,185.3124,3296.685
8/31/2006,74.04666667,185.3546341,3296.646667
9/30/2006,74,185.4076849,3296.6
10/31/2006,73.95833333,185.4526093,3296.558333
11/30/2006,73.90166667,185.4923846,3296.501667
12/31/2006,73.87666667,185.5420397,3296.476667
1/31/2007,73.81833333,185.6000269,3296.418333
2/28/2007,73.76333333,185.6494048,3296.363333
3/31/2007,73.70666667,185.7060618,3296.306667
4/30/2007,73.65166667,185.7569,3296.251667
5/31/2007,73.60666667,185.792619,3296.206667
6/30/2007,73.585,185.8075592,3296.185
